,name,dim,gamma_square,neg_elbo,kl_loss,rec_loss,prior,cima,mcc,min_cima,min_cima_step,cima4max_mcc,cima4min_neg_elbo,mixing_linear_map_cima,max_mcc,max_mcc_step,mcc4min_cima,mcc4min_neg_elbo,min_neg_elbo,min_neg_elbo_step,mse_sources_mean_decoded_sources,mse_obs_decoded_mean_latents,sigma_0,sigma_1,sigma_2,col_norm_sq_0,col_norm_sq_1,col_norm_sq_2,rhs_0,rhs_1,rhs_2
10,unique-sweep-10,3,99999.99999999999,4.281377273135938,-15.091792106628418,10.810410355037888,uniform,0.37211084365844727,0.6847638014886359,0.37211084365844727,41,0.37211084365844727,0.4000805616378784,3.6790246963500977,0.6847638014886359,41,0.6847638014886359,0.6781889708981846,2.997528046066398,36,5.678800106048584,5.011988378100796e-06,0.00026557999080978334,2.2623991753789596e-05,1.4006505807628855e-05,0.6151167189001541,9.2930604431686,15.383039125597463,1.6257077222482722e-05,1.0760717700217993e-06,6.500666037675186e-07
11,misunderstood-sweep-9,3,99999.99999999999,0.7569351266166503,-12.261237144470217,11.504298986440803,uniform,0.017634768038988113,0.8366040669114817,0.017634768038988113,48,0.11063694953918457,0.028069261461496353,1.7267686128616333,0.8749477736556722,33,0.8366040669114817,0.8536263221947519,-0.16391909677168284,43,4.911563396453857,1.2464532852172852,0.011535027995705605,9.617589967092499e-05,3.889245999744162e-05,0.024629433422580727,2.06827144672026,5.384235135644303,0.0004060182720578466,4.834955303307695e-06,1.8572740134989207e-06
12,hearty-sweep-8,3,99999.99999999999,-1.9048288632814891,-10.078405380249023,11.983232448079663,uniform,0.002952468814328313,0.8346000847484941,0.0029153041541576385,68,0.1474762111902237,0.004142850171774626,3.2609081268310547,0.882989661450617,50,0.8364761661845901,0.8410333499105873,-2.3805322001533327,65,10.600289344787598,2.905165433883667,0.044668618589639664,0.005695710424333811,3.5593951906776056e-05,0.010858990491882603,0.06938362021992361,6.544944119788454,0.0009208959163814795,0.00014412623567786227,1.527896925775926e-06
13,laced-sweep-7,3,99999.99999999999,0.8281922714155338,-10.870328903198242,10.04213707683073,uniform,0.01242959126830101,0.8479690212138679,0.0033026498276740313,34,0.006543626077473164,0.007295116316527128,3.3688182830810547,0.8848681431437505,31,0.8796615039004874,0.865460403821073,-1.4115261176789395,38,26.977705001831055,2.7496120929718018,0.11388130486011505,0.00020621427393052727,1.9696837625815533e-05,0.001822281645477375,1.126942863154511,10.084596200013266,0.005487625924795147,8.873564336712018e-06,9.916113448337026e-07
14,classic-sweep-6,3,99999.99999999999,0.274946172264411,-12.436498641967772,12.16155527223428,uniform,0.03175943344831467,0.7366595237315912,0.03175943344831467,18,0.03716214373707771,0.03434963524341583,1.760393500328064,0.7852762048612927,4,0.7366595237315912,0.7450448478453275,0.27019421773754543,13,2.5753226280212402,2.2038893699645996,0.010323794558644295,5.107000470161438e-05,3.56091077264864e-05,0.01906475337168345,3.7761934609479795,6.237990670215424,0.0005245281596379227,2.6481694074777596e-06,1.6030803072128767e-06
15,crimson-sweep-5,3,99999.99999999999,-3.632446413021073,-8.754721641540527,12.387169321041087,uniform,0.027339477092027664,0.9548955139467316,0.007613820489495993,11,0.027339477092027664,0.021137630566954613,0.8035839796066284,0.9548955139467317,23,0.8895345657337308,0.9473674426261924,-3.6424123147401284,18,8.100519180297852,0.45482075214385986,0.012145375832915306,0.010284336283802986,0.0009029936627484858,0.0197485734416889,0.03431036334062143,0.3066036572484485,0.0005063656891231532,0.00029145712916891776,3.261539699083483e-05
16,serene-sweep-4,3,99999.99999999999,5.347323792211938,-15.9883394241333,10.64101246063637,uniform,0.21538324654102323,0.6434935526919826,0.21538324654102325,12,0.21538324654102325,0.2554517686367035,1.0231058597564695,0.6434935526919826,12,0.6434935526919826,0.6136670232747565,4.497639844491548,7,4.5867695808410645,3.90164852142334,7.675665256101638e-05,2.0172534277662635e-05,9.791662705538329e-06,2.307944997603272,11.120946728624403,17.4388973368807,4.332858889784933e-06,8.99204019587723e-07,5.734307512007353e-07
17,cerulean-sweep-3,3,99999.99999999999,-5.536969343899642,-6.938694477081299,12.475661317267967,uniform,0.0009082756005227566,0.9684235205281068,0.0002656478900462389,16,0.001029039965942502,0.001149869291111827,0.8540630340576172,0.9689745910547901,26,0.966639892346267,0.9680969130861666,-5.836100036560429,30,11.03591537475586,0.19782397150993347,0.06296700239181519,0.047114547342061996,0.004092519637197256,0.007075874469927079,0.0073637176611927035,0.10228495740902677,0.0014132528837955852,0.0013580096983756842,9.776608656159532e-05
18,fanciful-sweep-2,3,99999.99999999999,-1.8575699089427935,-6.982660293579102,8.840231338030112,uniform,1.4062927961349487,0.5377652626144753,0.12997569143772125,5,3.1915862560272217,0.5984994173049927,2.1603150367736816,0.6482675712379758,0,0.5799918255513996,0.5324562622690465,-2.376282049970219,12,4.660234451293945,0.13465607166290283,2.9182019233703613,0.0005097988178022206,0.0020239760633558035,3.5747608704076437e-06,0.49558863599783365,0.09370238005692588,2.7973899129257456,2.017802522825345e-05,0.00010672087511464299
19,soft-sweep-1,3,99999.99999999999,-0.7960858785257783,-10.866634368896484,11.662718291754135,uniform,0.004565661307424307,0.9306813959899068,0.002155979862436652,10,0.004379821941256523,0.004253552760928869,1.6964396238327026,0.9360406009352923,13,0.9338957166037227,0.9356396199260324,-1.3587158024254515,14,4.546964168548584,1.114864468574524,0.00473617622628808,0.002405616920441389,5.863365367986262e-05,0.05208360022885472,0.10423944720553724,3.8538700251885984,0.00019199901612139178,9.593297228718226e-05,2.5947943066685614e-06
