,name,dim,gamma_square,neg_elbo,kl_loss,rec_loss,prior,cima,mcc,min_cima,min_cima_step,cima4max_mcc,cima4min_neg_elbo,max_mcc,max_mcc_step,mcc4min_cima,mcc4min_neg_elbo,sigma_0,sigma_1,sigma_2,col_norm_sq_0,col_norm_sq_1,col_norm_sq_2,rhs_0,rhs_1,rhs_2
25,young-sweep-142,3,10000000.0,2.364881400929106,-19.199872970581055,16.834990821971285,gaussian,0.0313875675201416,0.9389827465363304,0.017473772168159485,6,0.0313875675201416,0.036135122179985046,0.9389827465363304,49,0.6430015698385587,0.9368233895019182,1.4973034012655262e-06,2.9230909603938926e-06,1.8249558024763246e-06,0.06871913263943075,0.03352035531121177,0.05582584153266712,1.4551966918009576e-06,2.983253033754361e-06,1.791281924756862e-06
26,astral-sweep-141,3,10000000.0,15.22096514284297,-19.135801315307617,3.914837784810027,gaussian,0.11617127805948256,0.7117498294240567,0.11617127805948257,49,0.13510946929454803,0.11768611520528793,0.7121389731512715,37,0.7117498294240567,0.7118211018378644,2.051077672149404e-06,2.0814361505472334e-06,1.5005900877440581e-06,0.048271439658851514,0.048420903888911404,0.0671852460182123,2.071614054714807e-06,2.065219470241103e-06,1.4884198106666364e-06
27,solar-sweep-127,3,1000000.0,0.9787564669494802,-16.260845184326172,15.282090599294012,gaussian,0.014482397586107254,0.8575281400358897,0.014482397586107254,49,0.014482397586107254,0.014859167858958244,0.8575281400358897,49,0.8575281400358897,0.8555270290154426,3.9617527363589033e-05,3.3655956940492615e-05,1.8753207768895663e-05,0.026047003561021864,0.030273529960468615,0.0530829359543219,3.839065814227684e-05,3.303106609105951e-05,1.883809069584607e-05
28,easy-sweep-126,3,1000000.0,1.024552682096863,-13.320040702819824,12.295486377860009,gaussian,0.014116188511252403,0.9109086759898868,0.014116188511252403,49,0.014116188511252403,0.015894314274191856,0.9109086759898869,49,0.9109086759898869,0.910469528631266,8.648021321278065e-06,1.3322460290510207e-05,3.189413109794259e-05,0.11523387085563641,0.07411090873157278,0.03197742344628751,8.677928760407749e-06,1.3493108153804505e-05,3.127108507020829e-05
29,happy-sweep-124,3,1000000.0,-3.856509184190791,-11.804540634155272,15.66104918002006,gaussian,0.001152247074060142,0.9447464023832752,0.001152247074060142,49,0.002136404626071453,0.0013056793250143528,0.9449277525741745,45,0.9447464023832753,0.9448367629644812,3.3768013963708654e-05,1.3973588465887588e-05,1.2659977983275894e-05,0.029228506763988804,0.07000635154334223,0.07907224531964463,3.421200392036773e-05,1.4284214128296087e-05,1.2646502568063488e-05
30,expert-sweep-152,3,99999.99999999999,-4.262056293216873,-8.31039810180664,12.572454478946854,gaussian,0.000332637777319178,0.8107328769205847,0.000332637777319178,49,0.11862467229366302,0.00038837941247038543,0.8297319277487851,14,0.8107328769205847,0.8115262189592761,0.00024011346977204084,0.00022844925115350634,0.00012486394552979618,0.041120777272825246,0.044719891959776006,0.07899761078388057,0.00024312693955839525,0.00022356414383903822,0.00012657008484099407
31,curious-sweep-151,3,99999.99999999999,-4.539795566270534,-8.30856990814209,12.848366026272164,gaussian,0.0001978670770768076,0.8106627478199281,0.00012558365415316075,35,0.005433466751128435,0.00019786707707680762,0.8175768554534429,21,0.8103564832156692,0.8106627478199281,0.0006365886656567454,0.00027018843684345484,0.0001085816984414123,0.015696775450459777,0.036637738709411005,0.09078211451967277,0.000636667916437761,0.00027286813190010103,0.00011014172379290944
32,gallant-sweep-150,3,99999.99999999999,-4.028031397553512,-8.300945281982422,12.328976455740362,gaussian,0.000258049025433138,0.7467209540630482,0.00010182952973991632,29,0.0003165804664604366,0.00019924799562431872,0.7524440066010513,26,0.7513304639977855,0.7504315055899724,0.0002983002341352403,0.00010829228995135054,0.00014361939975060523,0.03366665821904835,0.09167942951813757,0.06907957188840275,0.0002969415770102674,0.00010906382614172389,0.00014473964343204426
33,fast-sweep-149,3,99999.99999999999,-3.8435075033583903,-8.285482406616211,12.128991392620271,gaussian,0.0003867581544909626,0.77050375336527,0.00023707072250545025,40,0.0003457743441686034,0.0004713477974291891,0.7706603922286349,38,0.7699351273462236,0.77058790991066,0.00031511232373304665,0.00019018034799955785,0.00012943861656822264,0.03242194139368437,0.053164079438625444,0.07620753578727602,0.0003083380016821117,0.00018806155377907755,0.00013120340216600694
34,lyric-sweep-148,3,99999.99999999999,-3.4679398921226676,-8.303618431091309,11.771558516491972,gaussian,2.077102726616431e-05,0.754453687581585,1.4579773051082157e-05,40,0.02395515702664852,2.69241336354753e-05,0.7587224017178024,17,0.75305929496098,0.7532283527336994,0.00010805541387526318,0.00016731751384213567,0.00022526113025378436,0.09199204292287622,0.05904063617498978,0.04475166759965732,0.0001086932385662657,0.00016934618571028007,0.00022340543898942135
35,daily-sweep-147,3,99999.99999999999,-4.269378805513672,-8.294258117675781,12.563637675956382,gaussian,5.543009319808334e-05,0.8464257979673138,2.2735595848644152e-05,46,9.497451537754387e-05,0.0013546040281653404,0.8476332893315572,38,0.8462167050744537,0.8436468035204182,0.00012242270167917013,0.00023747699742671102,0.0001392010017298162,0.08169716532597704,0.041697104290641995,0.07085761978675365,0.00012238828700156503,0.00023976730511697847,0.0001411081680193409
36,polished-sweep-146,3,99999.99999999999,-4.3869089673577095,-8.310576438903809,12.697484236421024,gaussian,0.0001572596229379997,0.9276930313916016,0.00014566167374141514,45,0.004492937587201595,0.00016770554066170007,0.9293288652482001,17,0.9274643115611777,0.9275090825649329,0.0003617076145019382,0.0001412071578670293,0.00013297903933562338,0.02706883920247094,0.06942609609197437,0.07490372845495585,0.00036929204849694974,0.0001440173132250134,0.00013348688159357604
37,happy-sweep-145,3,99999.99999999999,-4.346050643069648,-8.333626747131348,12.67967860836099,gaussian,0.0001859461481217295,0.901377704508048,1.5800476830918342e-05,37,7.788975926814601e-05,7.788975926814601e-05,0.9014059874680717,48,0.9009998107766807,0.9014059874680717,8.949145558290184e-05,0.00012929138028994203,0.0003274559276178479,0.11042783064380135,0.07574131129559092,0.03046455427546868,9.054868192995677e-05,0.00013201091610122462,0.00032814261726708084
38,glowing-sweep-144,3,99999.99999999999,-3.005462099964299,-8.311151504516602,11.316612182870388,gaussian,0.00040467962389811873,0.7294926849097728,0.00022247695596888661,39,0.00035686875344254076,0.0007024091319181025,0.7298125226570659,41,0.7295499888623507,0.7290715759554421,0.00022380142763722688,0.00018183005158789456,0.00016723030421417207,0.04427167158876366,0.05520343790755078,0.05912372483537731,0.000225827066621791,0.00018111532950989165,0.00016910823777529748
39,deep-sweep-143,3,99999.99999999999,-4.319237417537727,-8.327253341674805,12.646490105627738,gaussian,0.00025772349908947945,0.8537760839603821,0.00014680862659588456,31,0.00025872295373119414,0.00048730976413935423,0.8541360923645963,48,0.8507318417740581,0.8494965684504759,0.00012789585161954165,0.0002811322920024395,0.00018191045091953129,0.0756670035615068,0.03480921697279005,0.05492362921467574,0.00013214053846453448,0.00028719772784708625,0.00018203785446107868
