,name,dim,gamma_square,neg_elbo,kl_loss,rec_loss,prior,cima,mcc,min_cima,min_cima_step,cima4max_mcc,cima4min_neg_elbo,max_mcc,max_mcc_step,mcc4min_cima,mcc4min_neg_elbo,min_neg_elbo,min_neg_elbo_step,mse_sources_mean_decoded_sources,mse_obs_decoded_mean_latents,sigma_0,sigma_1,sigma_2,col_norm_sq_0,col_norm_sq_1,col_norm_sq_2,rhs_0,rhs_1,rhs_2
41,vital-sweep-79,3,10000.0,4.599263875628096,-13.875171661376951,9.275907979026854,gaussian,0.00021688970446120948,0.6805508636671442,8.616574632469565e-05,17,0.022340815514326096,0.00015987841470632702,0.69706588866582,1,0.6778101947173061,0.6776236854404201,4.406634612258105,16,1.3782560927211307e-05,9.894180948322173e-06,0.00040353124495595694,0.00039246384403668344,0.00042950408533215523,0.24310010406256666,0.24693673269450844,0.2401208922877709,0.0004111840345852549,0.0004047980998990235,0.0004162835257484837
42,rosy-sweep-78,3,10000.0,4.6956949873195315,-13.794961929321287,9.099264274256806,gaussian,0.00010171190660912544,0.8914139544053754,6.419594865292311e-05,17,0.0016076132887974381,0.00012314223567955196,0.8981844834184454,1,0.8921494637729829,0.8932313533018968,4.474320993441459,14,1.2268649697944056e-05,1.4923787603038363e-05,0.00032512005418539047,0.0004277604748494923,0.00031970624695532024,0.30623471571379923,0.22897175574655737,0.31852571513767103,0.00032644031143185047,0.0004365444341843652,0.0003138478636502777
43,soft-sweep-77,3,10000.0,4.620702398478819,-13.83050537109375,9.209797604064306,gaussian,0.00011929194442927836,0.7255168733956787,8.457374497083947e-05,9,0.00011929194442927837,0.00011277516750851646,0.7255168733956787,12,0.7251079486340224,0.7230695740190134,4.556857567203969,7,3.918819493264891e-05,1.827564847189933e-05,0.00046360952546820045,0.0004128055879846215,0.0005431148456409574,0.20150022593259465,0.24902861485651684,0.19016639784517597,0.0004960311901308839,0.00040139909282437913,0.0005255788785225872
44,genial-sweep-76,3,10000.0,4.829808604550625,-13.739123344421388,8.909313488650064,gaussian,4.9055735871661454e-05,0.7854585550547276,4.9055735871661454e-05,13,0.014472686685621738,9.069124644156545e-05,0.7896434987459734,0,0.7854585550547276,0.7855568884190361,4.6517270456309685,8,3.84506129194051e-05,2.728688377828803e-05,0.00025614729383960366,0.0004290070792194456,0.0003253023896832019,0.3840900908699041,0.23154329599385992,0.2949778094046138,0.000260287816829358,0.0004316982262359566,0.0003388936640195771
45,absurd-sweep-75,3,10000.0,4.581131497891148,-13.806500434875488,9.225371233432105,gaussian,9.195772872772068e-05,0.7398352322861688,8.041445107664913e-05,21,0.008723932318389416,8.927154703997076e-05,0.7601906614864608,0,0.7407931642358797,0.7401801987826168,4.401155997618292,19,1.195924141939031e-05,9.113357918977272e-06,0.0003848224878311157,0.0004148368025198579,0.00038368618697859347,0.2568648440828305,0.24433005234325922,0.25669467630200415,0.00038915829267199614,0.00040911499646355883,0.0003894161726405679
46,graceful-sweep-74,3,10000.0,4.490850142062671,-13.803711891174316,9.312861110785638,gaussian,0.00016305447206832469,0.7071119017899858,0.00013850211689714342,16,0.004842847120016813,0.00015043608436826617,0.7072633221500626,0,0.7067954110218821,0.7067343978655615,4.46781908032946,12,2.6109819373232313e-05,1.249660908797523e-05,0.0004023697110824287,0.00027782065444625914,0.0003708407748490572,0.23688570741643744,0.3733084739105017,0.27526829406656717,0.0004219663754838911,0.00026780324225841737,0.000363150014561321
47,spring-sweep-73,3,10000.0,4.5028136701185275,-13.791299819946287,9.28848718488229,gaussian,0.00014180055586621165,0.8849850630875388,0.00011732832354027778,15,0.00014180055586621165,0.00014967378228902817,0.8849850630875388,18,0.8845613401491669,0.8841678944191255,4.410560102543454,13,8.660303137730807e-06,9.462350135436282e-06,0.00022722763242200017,0.0003108942764811218,0.00027367656002752483,0.4208984584437445,0.32634476951722036,0.3817356096669897,0.00023753056096608582,0.0003063305322609094,0.00026189280797360155
48,earthy-sweep-72,3,10000.0,4.840029684999206,-13.798718452453612,8.958689553282053,gaussian,0.00010431989358039571,0.8089492840909649,9.313647024100646e-05,17,0.00010431989358039573,0.00014924685820005834,0.8089492840909649,18,0.8074275626402094,0.8075087445377119,4.454945949913477,13,1.2431783943611663e-05,1.2042333764838986e-05,0.00036196006112731993,0.0002983124286402017,0.0003515402786433697,0.27541110137150326,0.3393869211695488,0.2957424221690985,0.00036296178085818223,0.0002945621576686818,0.00033801778415281394
49,visionary-sweep-71,3,10000.0,4.627873673154078,-13.864386558532717,9.236512859947318,gaussian,0.00010799630399560556,0.849251681763244,0.00010799630399560556,9,0.00010799630399560556,0.0003003139572683722,0.849251681763244,9,0.849251681763244,0.8466303984292193,4.625406458033804,4,2.396415402472485e-05,2.0884774130536243e-05,0.00033006074954755604,0.00037522081402130425,0.0002971396315842867,0.3059757777240435,0.2650389977521286,0.35518241349842583,0.00032671647767619017,0.0003771606623235687,0.0002814662257422519
50,polished-sweep-70,3,10000.0,4.821158958376211,-13.843019485473633,9.02186009476506,gaussian,0.0001227585453307256,0.8519078204211334,0.0001227585453307256,19,0.00018190001719631255,0.0001503814128227532,0.8519569997867626,17,0.8519078204211334,0.8500624080845832,4.494036121905914,14,2.2845519197289832e-05,1.352875551674515e-05,0.0004203060525469482,0.000410908687626943,0.00031350215431302786,0.2424156362475296,0.26689558822292625,0.3138509931943645,0.000412344546303532,0.00037453802388864063,0.00031852104999741414
51,vital-sweep-69,3,10000.0,4.643281350398991,-13.82786750793457,9.18458327362445,gaussian,0.0001667550386628136,0.8232985715694471,0.0001667550386628136,11,0.0001667550386628136,0.0004518546920735389,0.8232985715694471,11,0.8232985715694471,0.8221744059349502,4.524326387010055,6,2.1574684069491923e-05,1.6225074432441033e-05,0.0005751798744313419,0.0003916534478776157,0.000337490055244416,0.1811227966128124,0.2763631564683955,0.29566275313641555,0.0005518069573424188,0.00036171185078483225,0.00033810883534031986
